f_x_sim,f_y_sim,f_z_sim,f_sp_sim,m_sp_sim,materialremoved_sim,a_x,a_y,a_z,a_sp,v_x,v_y,v_z,v_sp,pos_x,pos_y,pos_z,pos_sp
-11.430434,-23.863398,55.942486,137.84322,0.7876818,2.9316552,0.8388251,-1.7685969,3.4228063,230668.73,1.6344026,1.3148288,0.54941386,-85138.164,-16.21306,308.28293,380.0776,859555.25
-45.683468,44.46059,6.0587,27.697868,0.21542937,0.0973294,0.6465387,-0.4875013,-16.563234,1595107.5,-0.5264374,5.699044,-0.9102857,-65658.21,-20.059715,280.47388,380.05124,416914.2
-7.5964518,35.266335,14.779765,52.089085,0.30109033,0.7787467,0.8511793,-0.16558494,4.3777676,4249905.5,-1.5317544,-2.1123822,-1.6588389,-3772.9395,12.1775,298.30267,382.61722,1011519.0
-207.7993,-193.8491,90.05873,209.8587,1.0920655,5.6631317,0.62956756,-0.62210387,6.850664,1832189.2,4.747915,3.4853191,1.8074458,-6063.329,-26.91446,332.06055,378.3518,443739.44
-62.931416,-22.926817,29.617403,87.183876,0.42323688,1.4744912,-1.0879395,-2.6358144,-7.0137415,1271855.1,-0.29564336,4.634122,1.935873,-743.4937,-35.161934,323.8257,380.53452,363116.5
-81.01154,20.417994,51.800888,124.50509,0.667639,2.521044,-3.7577584,-0.75043094,-28.62391,1754638.0,-0.14701508,1.4815619,-0.6776796,42488.598,-14.711857,306.09415,379.28214,961639.06
-26.315613,28.561373,20.128744,49.77152,0.32655123,1.3829142,1.9387155,3.6574082,-20.814613,1740128.8,-1.7079897,2.4970632,1.3421476,-61472.867,-7.6164227,273.96658,381.26474,177120.19
-34.47686,89.0889,28.84454,86.48701,0.4188091,1.0394887,-1.7300761,-3.180815,-23.259468,2650629.0,-5.031882,-1.1747562,-2.7382426,736.32025,20.116404,273.65167,379.58926,1569623.1
-9.935252,-4.519295,14.761979,34.65818,0.21214576,0.5015243,1.2743406,-0.794117,-22.710398,-466381.12,0.011933251,0.9123852,1.6076326,38245.938,1.8923365,270.3248,380.88788,1277195.4
28.19427,31.07414,-2.582547,-2.4620442,0.030251855,-0.24056694,-3.888663,-3.7691257,-17.778887,4100121.8,0.83260137,-3.8077717,-0.3782335,-55762.84,26.29671,309.9542,380.29526,1336418.4
35.898438,193.73584,49.136917,150.1532,0.7172239,2.5010862,-3.277733,1.2850465,2.9793088,1364151.0,-6.525057,0.18580276,-0.42128754,6371.2666,-9.811751,267.96994,379.9464,-3740.4402
