/home/ymax29os/ams_project-2/transformer_GAN/transformer_model.py:95: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = GradScaler()
/home/ymax29os/.local/lib/python3.9/site-packages/torch/amp/grad_scaler.py:132: UserWarning: torch.cuda.amp.GradScaler is enabled, but CUDA is not available.  Disabling.
  warnings.warn(
/home/ymax29os/ams_project-2/transformer_GAN/transformer_model.py:112: FutureWarning: `torch.cuda.amp.autocast(args...)` is deprecated. Please use `torch.amp.autocast('cuda', args...)` instead.
  with autocast():
/home/ymax29os/.local/lib/python3.9/site-packages/torch/amp/autocast_mode.py:265: UserWarning: User provided device_type of 'cuda', but CUDA is not available. Disabling
  warnings.warn(
/home/ymax29os/ams_project-2/transformer_GAN/transformer_model.py:128: FutureWarning: `torch.cuda.amp.autocast(args...)` is deprecated. Please use `torch.amp.autocast('cuda', args...)` instead.
  with autocast():
Epoch [1/1000] 	 Discriminator Loss: 0.0880 	 Generator Loss: 0.0925
Epoch [2/1000] 	 Discriminator Loss: 0.0858 	 Generator Loss: 0.0936
Epoch [3/1000] 	 Discriminator Loss: 0.0821 	 Generator Loss: 0.0988
Epoch [4/1000] 	 Discriminator Loss: 0.0903 	 Generator Loss: 0.1072
Epoch [5/1000] 	 Discriminator Loss: 0.0918 	 Generator Loss: 0.1107
Epoch [6/1000] 	 Discriminator Loss: 0.0848 	 Generator Loss: 0.1050
Epoch [7/1000] 	 Discriminator Loss: 0.0949 	 Generator Loss: 0.1048
Epoch [8/1000] 	 Discriminator Loss: 0.0915 	 Generator Loss: 0.1026
Epoch [9/1000] 	 Discriminator Loss: 0.0969 	 Generator Loss: 0.1002
Epoch [10/1000] 	 Discriminator Loss: 0.0970 	 Generator Loss: 0.0958
Epoch [11/1000] 	 Discriminator Loss: 0.0941 	 Generator Loss: 0.0984
Epoch [12/1000] 	 Discriminator Loss: 0.0887 	 Generator Loss: 0.1046
Epoch [13/1000] 	 Discriminator Loss: 0.0779 	 Generator Loss: 0.1167
Epoch [14/1000] 	 Discriminator Loss: 0.0644 	 Generator Loss: 0.1371
Epoch [15/1000] 	 Discriminator Loss: 0.0522 	 Generator Loss: 0.1595
Epoch [16/1000] 	 Discriminator Loss: 0.0430 	 Generator Loss: 0.1897
Epoch [17/1000] 	 Discriminator Loss: 0.0415 	 Generator Loss: 0.2244
Epoch [18/1000] 	 Discriminator Loss: 0.0456 	 Generator Loss: 0.2498
Epoch [19/1000] 	 Discriminator Loss: 0.0450 	 Generator Loss: 0.2493
Epoch [20/1000] 	 Discriminator Loss: 0.0648 	 Generator Loss: 0.2176
Epoch [21/1000] 	 Discriminator Loss: 0.0792 	 Generator Loss: 0.2623
Epoch [22/1000] 	 Discriminator Loss: 0.0780 	 Generator Loss: 0.2201
Epoch [23/1000] 	 Discriminator Loss: 0.0589 	 Generator Loss: 0.2843
Epoch [24/1000] 	 Discriminator Loss: 0.0374 	 Generator Loss: 0.3040
Epoch [25/1000] 	 Discriminator Loss: 0.0444 	 Generator Loss: 0.2867
Epoch [26/1000] 	 Discriminator Loss: 0.0441 	 Generator Loss: 0.3163
Epoch [27/1000] 	 Discriminator Loss: 0.0159 	 Generator Loss: 0.3560
Epoch [28/1000] 	 Discriminator Loss: 0.0141 	 Generator Loss: 0.3615
Epoch [29/1000] 	 Discriminator Loss: 0.0075 	 Generator Loss: 0.4009
Epoch [30/1000] 	 Discriminator Loss: 0.0100 	 Generator Loss: 0.4165
Epoch [31/1000] 	 Discriminator Loss: 0.0297 	 Generator Loss: 0.4259
Epoch [32/1000] 	 Discriminator Loss: 0.0236 	 Generator Loss: 0.4367
Epoch [33/1000] 	 Discriminator Loss: 0.0124 	 Generator Loss: 0.4587
Epoch [34/1000] 	 Discriminator Loss: 0.0142 	 Generator Loss: 0.4588
Epoch [35/1000] 	 Discriminator Loss: 0.0290 	 Generator Loss: 0.4436
Epoch [36/1000] 	 Discriminator Loss: 0.0120 	 Generator Loss: 0.4737
Epoch [37/1000] 	 Discriminator Loss: 0.0267 	 Generator Loss: 0.4781
Epoch [38/1000] 	 Discriminator Loss: 0.0210 	 Generator Loss: 0.4305
Epoch [39/1000] 	 Discriminator Loss: 0.0369 	 Generator Loss: 0.4532
Epoch [40/1000] 	 Discriminator Loss: 0.1080 	 Generator Loss: 0.4093
Epoch [41/1000] 	 Discriminator Loss: 0.1431 	 Generator Loss: 0.0413
Epoch [42/1000] 	 Discriminator Loss: 0.1230 	 Generator Loss: 0.1031
Epoch [43/1000] 	 Discriminator Loss: 0.1068 	 Generator Loss: 0.1512
Epoch [44/1000] 	 Discriminator Loss: 0.1045 	 Generator Loss: 0.1300
Epoch [45/1000] 	 Discriminator Loss: 0.0916 	 Generator Loss: 0.1060
Epoch [46/1000] 	 Discriminator Loss: 0.0876 	 Generator Loss: 0.0896
