/home/ymax29os/GANs/ams_project-2/transformer_GAN/transformer_model.py:95: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = GradScaler()
/home/ymax29os/.local/lib/python3.9/site-packages/torch/amp/grad_scaler.py:132: UserWarning: torch.cuda.amp.GradScaler is enabled, but CUDA is not available.  Disabling.
  warnings.warn(
/home/ymax29os/GANs/ams_project-2/transformer_GAN/transformer_model.py:134: FutureWarning: `torch.cuda.amp.autocast(args...)` is deprecated. Please use `torch.amp.autocast('cuda', args...)` instead.
  with autocast():
/home/ymax29os/.local/lib/python3.9/site-packages/torch/amp/autocast_mode.py:265: UserWarning: User provided device_type of 'cuda', but CUDA is not available. Disabling
  warnings.warn(
/home/ymax29os/GANs/ams_project-2/transformer_GAN/transformer_model.py:150: FutureWarning: `torch.cuda.amp.autocast(args...)` is deprecated. Please use `torch.amp.autocast('cuda', args...)` instead.
  with autocast():
Epoch [1/500] 	 Discriminator Loss: 0.0728 	 Generator Loss: 0.1255
Epoch [2/500] 	 Discriminator Loss: 0.0251 	 Generator Loss: 0.2504
Epoch [3/500] 	 Discriminator Loss: 0.0440 	 Generator Loss: 0.2205
Epoch [4/500] 	 Discriminator Loss: 0.0206 	 Generator Loss: 0.3985
Epoch [5/500] 	 Discriminator Loss: 0.0240 	 Generator Loss: 0.2499
Epoch [6/500] 	 Discriminator Loss: 0.1163 	 Generator Loss: 0.1544
Epoch [7/500] 	 Discriminator Loss: 0.0991 	 Generator Loss: 0.0796
Epoch [8/500] 	 Discriminator Loss: 0.0438 	 Generator Loss: 0.3256
Epoch [9/500] 	 Discriminator Loss: 0.0315 	 Generator Loss: 0.2421
Epoch [10/500] 	 Discriminator Loss: 0.0121 	 Generator Loss: 0.3657
Epoch [11/500] 	 Discriminator Loss: 0.0326 	 Generator Loss: 0.2731
Epoch [12/500] 	 Discriminator Loss: 0.0442 	 Generator Loss: 0.3073
Epoch [13/500] 	 Discriminator Loss: 0.0371 	 Generator Loss: 0.2097
Epoch [14/500] 	 Discriminator Loss: 0.0551 	 Generator Loss: 0.1466
Epoch [15/500] 	 Discriminator Loss: 0.0399 	 Generator Loss: 0.1952
Epoch [16/500] 	 Discriminator Loss: 0.0436 	 Generator Loss: 0.1922
Epoch [17/500] 	 Discriminator Loss: 0.0968 	 Generator Loss: 0.1573
Epoch [18/500] 	 Discriminator Loss: 0.0180 	 Generator Loss: 0.3610
Epoch [19/500] 	 Discriminator Loss: 0.0635 	 Generator Loss: 0.2798
Epoch [20/500] 	 Discriminator Loss: 0.0392 	 Generator Loss: 0.2353
Epoch [21/500] 	 Discriminator Loss: 0.0301 	 Generator Loss: 0.4156
Epoch [22/500] 	 Discriminator Loss: 0.0762 	 Generator Loss: 0.2363
Epoch [23/500] 	 Discriminator Loss: 0.0173 	 Generator Loss: 0.3114
Epoch [24/500] 	 Discriminator Loss: 0.0266 	 Generator Loss: 0.2501
Epoch [25/500] 	 Discriminator Loss: 0.0633 	 Generator Loss: 0.2175
Epoch [26/500] 	 Discriminator Loss: 0.0878 	 Generator Loss: 0.1352
Epoch [27/500] 	 Discriminator Loss: 0.0360 	 Generator Loss: 0.2674
Epoch [28/500] 	 Discriminator Loss: 0.0106 	 Generator Loss: 0.4280
Epoch [29/500] 	 Discriminator Loss: 0.0083 	 Generator Loss: 0.4763
Epoch [30/500] 	 Discriminator Loss: 0.0076 	 Generator Loss: 0.5032
Epoch [31/500] 	 Discriminator Loss: 0.0606 	 Generator Loss: 0.4440
Epoch [32/500] 	 Discriminator Loss: 0.0306 	 Generator Loss: 0.3704
Epoch [33/500] 	 Discriminator Loss: 0.0315 	 Generator Loss: 0.3289
Epoch [34/500] 	 Discriminator Loss: 0.0606 	 Generator Loss: 0.2137
Epoch [35/500] 	 Discriminator Loss: 0.0212 	 Generator Loss: 0.3270
Epoch [36/500] 	 Discriminator Loss: 0.0246 	 Generator Loss: 0.3709
Epoch [37/500] 	 Discriminator Loss: 0.0259 	 Generator Loss: 0.3356
Epoch [38/500] 	 Discriminator Loss: 0.0530 	 Generator Loss: 0.2907
Epoch [39/500] 	 Discriminator Loss: 0.0248 	 Generator Loss: 0.3660
Epoch [40/500] 	 Discriminator Loss: 0.0337 	 Generator Loss: 0.2981
Epoch [41/500] 	 Discriminator Loss: 0.0187 	 Generator Loss: 0.3187
Epoch [42/500] 	 Discriminator Loss: 0.0086 	 Generator Loss: 0.4541
Epoch [43/500] 	 Discriminator Loss: 0.0076 	 Generator Loss: 0.4692
Epoch [44/500] 	 Discriminator Loss: 0.0069 	 Generator Loss: 0.4753
Epoch [45/500] 	 Discriminator Loss: 0.0060 	 Generator Loss: 0.4763
Epoch [46/500] 	 Discriminator Loss: 0.0038 	 Generator Loss: 0.5100
Epoch [47/500] 	 Discriminator Loss: 0.0018 	 Generator Loss: 0.5788
Epoch [48/500] 	 Discriminator Loss: 0.0214 	 Generator Loss: 0.5347
Epoch [49/500] 	 Discriminator Loss: 0.0594 	 Generator Loss: 0.4692
Epoch [50/500] 	 Discriminator Loss: 0.0033 	 Generator Loss: 0.5168
