/home/ymax29os/GANs/ams_project-2/transformer_GAN/transformer_model.py:95: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = GradScaler()
/home/ymax29os/.local/lib/python3.9/site-packages/torch/amp/grad_scaler.py:132: UserWarning: torch.cuda.amp.GradScaler is enabled, but CUDA is not available.  Disabling.
  warnings.warn(
/home/ymax29os/GANs/ams_project-2/transformer_GAN/transformer_model.py:153: FutureWarning: `torch.cuda.amp.autocast(args...)` is deprecated. Please use `torch.amp.autocast('cuda', args...)` instead.
  with autocast():
/home/ymax29os/.local/lib/python3.9/site-packages/torch/amp/autocast_mode.py:265: UserWarning: User provided device_type of 'cuda', but CUDA is not available. Disabling
  warnings.warn(
/home/ymax29os/GANs/ams_project-2/transformer_GAN/transformer_model.py:174: FutureWarning: `torch.cuda.amp.autocast(args...)` is deprecated. Please use `torch.amp.autocast('cuda', args...)` instead.
  with autocast():
Epoch [1/500] 	 Discriminator Loss: 0.1108 	 Generator Loss: 0.0971
Epoch [2/500] 	 Discriminator Loss: 0.0602 	 Generator Loss: 0.2339
Epoch [3/500] 	 Discriminator Loss: 0.0498 	 Generator Loss: 0.1905
Epoch [4/500] 	 Discriminator Loss: 0.0313 	 Generator Loss: 0.3697
Epoch [5/500] 	 Discriminator Loss: 0.0571 	 Generator Loss: 0.2420
Epoch [6/500] 	 Discriminator Loss: 0.0108 	 Generator Loss: 0.3666
Epoch [7/500] 	 Discriminator Loss: 0.0858 	 Generator Loss: 0.0876
Epoch [8/500] 	 Discriminator Loss: 0.0815 	 Generator Loss: 0.0927
Epoch [9/500] 	 Discriminator Loss: 0.1048 	 Generator Loss: 0.1199
Epoch [10/500] 	 Discriminator Loss: 0.0360 	 Generator Loss: 0.3734
Epoch [11/500] 	 Discriminator Loss: 0.0410 	 Generator Loss: 0.2106
Epoch [12/500] 	 Discriminator Loss: 0.0778 	 Generator Loss: 0.1281
Epoch [13/500] 	 Discriminator Loss: 0.0917 	 Generator Loss: 0.1090
Epoch [14/500] 	 Discriminator Loss: 0.0871 	 Generator Loss: 0.0857
Epoch [15/500] 	 Discriminator Loss: 0.0867 	 Generator Loss: 0.0870
Epoch [16/500] 	 Discriminator Loss: 0.0864 	 Generator Loss: 0.0872
Epoch [17/500] 	 Discriminator Loss: 0.0861 	 Generator Loss: 0.0874
Epoch [18/500] 	 Discriminator Loss: 0.0862 	 Generator Loss: 0.0878
Epoch [19/500] 	 Discriminator Loss: 0.0870 	 Generator Loss: 0.0878
Epoch [20/500] 	 Discriminator Loss: 0.0874 	 Generator Loss: 0.0860
Epoch [21/500] 	 Discriminator Loss: 0.0865 	 Generator Loss: 0.0885
Epoch [22/500] 	 Discriminator Loss: 0.0871 	 Generator Loss: 0.0861
Epoch [23/500] 	 Discriminator Loss: 0.0866 	 Generator Loss: 0.0868
Epoch [24/500] 	 Discriminator Loss: 0.0867 	 Generator Loss: 0.0867
Epoch [25/500] 	 Discriminator Loss: 0.0870 	 Generator Loss: 0.0871
Epoch [26/500] 	 Discriminator Loss: 0.0868 	 Generator Loss: 0.0870
Epoch [27/500] 	 Discriminator Loss: 0.0867 	 Generator Loss: 0.0866
Epoch [28/500] 	 Discriminator Loss: 0.0867 	 Generator Loss: 0.0868
Epoch [29/500] 	 Discriminator Loss: 0.0867 	 Generator Loss: 0.0866
Epoch [30/500] 	 Discriminator Loss: 0.0866 	 Generator Loss: 0.0872
Epoch [31/500] 	 Discriminator Loss: 0.0869 	 Generator Loss: 0.0865
Epoch [32/500] 	 Discriminator Loss: 0.0867 	 Generator Loss: 0.0867
Epoch [33/500] 	 Discriminator Loss: 0.0866 	 Generator Loss: 0.0869
Epoch [34/500] 	 Discriminator Loss: 0.0865 	 Generator Loss: 0.0874
Epoch [35/500] 	 Discriminator Loss: 0.0866 	 Generator Loss: 0.0867
Epoch [36/500] 	 Discriminator Loss: 0.0863 	 Generator Loss: 0.0871
Epoch [37/500] 	 Discriminator Loss: 0.0861 	 Generator Loss: 0.0880
Epoch [38/500] 	 Discriminator Loss: 0.0863 	 Generator Loss: 0.0870
Epoch [39/500] 	 Discriminator Loss: 0.0862 	 Generator Loss: 0.0867
Epoch [40/500] 	 Discriminator Loss: 0.0861 	 Generator Loss: 0.0904
Epoch [41/500] 	 Discriminator Loss: 0.0850 	 Generator Loss: 0.0874
Epoch [42/500] 	 Discriminator Loss: 0.0858 	 Generator Loss: 0.0917
Epoch [43/500] 	 Discriminator Loss: 0.0535 	 Generator Loss: 0.2504
Epoch [44/500] 	 Discriminator Loss: 0.0868 	 Generator Loss: 0.0886
Epoch [45/500] 	 Discriminator Loss: 0.0865 	 Generator Loss: 0.0869
Epoch [46/500] 	 Discriminator Loss: 0.0860 	 Generator Loss: 0.0875
Epoch [47/500] 	 Discriminator Loss: 0.0810 	 Generator Loss: 0.0949
Epoch [48/500] 	 Discriminator Loss: 0.0492 	 Generator Loss: 0.2002
