/home/ymax29os/GANs/ams_project-2/transformer_GAN/transformer_model.py:95: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = GradScaler()
/home/ymax29os/.local/lib/python3.9/site-packages/torch/amp/grad_scaler.py:132: UserWarning: torch.cuda.amp.GradScaler is enabled, but CUDA is not available.  Disabling.
  warnings.warn(
/home/ymax29os/GANs/ams_project-2/transformer_GAN/transformer_model.py:154: FutureWarning: `torch.cuda.amp.autocast(args...)` is deprecated. Please use `torch.amp.autocast('cuda', args...)` instead.
  with autocast():
/home/ymax29os/.local/lib/python3.9/site-packages/torch/amp/autocast_mode.py:265: UserWarning: User provided device_type of 'cuda', but CUDA is not available. Disabling
  warnings.warn(
/home/ymax29os/GANs/ams_project-2/transformer_GAN/transformer_model.py:177: FutureWarning: `torch.cuda.amp.autocast(args...)` is deprecated. Please use `torch.amp.autocast('cuda', args...)` instead.
  with autocast():
/home/ymax29os/.local/lib/python3.9/site-packages/torch/optim/lr_scheduler.py:216: UserWarning: Detected call of `lr_scheduler.step()` before `optimizer.step()`. In PyTorch 1.1.0 and later, you should call them in the opposite order: `optimizer.step()` before `lr_scheduler.step()`.  Failure to do this will result in PyTorch skipping the first value of the learning rate schedule. See more details at https://pytorch.org/docs/stable/optim.html#how-to-adjust-learning-rate
  warnings.warn(
Epoch [1/500] 	 Discriminator Loss: 0.0017 	 Generator Loss: 0.5568
Epoch [2/500] 	 Discriminator Loss: 0.0008 	 Generator Loss: 0.6375
Epoch [3/500] 	 Discriminator Loss: 0.0006 	 Generator Loss: 0.6798
Epoch [4/500] 	 Discriminator Loss: 0.0005 	 Generator Loss: 0.7125
Epoch [5/500] 	 Discriminator Loss: 0.0004 	 Generator Loss: 0.7402
Epoch [6/500] 	 Discriminator Loss: 0.0003 	 Generator Loss: 0.7643
Epoch [7/500] 	 Discriminator Loss: 0.0003 	 Generator Loss: 0.7872
Epoch [8/500] 	 Discriminator Loss: 0.0002 	 Generator Loss: 0.8069
Epoch [9/500] 	 Discriminator Loss: 0.0002 	 Generator Loss: 0.8270
Epoch [10/500] 	 Discriminator Loss: 0.0002 	 Generator Loss: 0.8431
Epoch [11/500] 	 Discriminator Loss: 0.0001 	 Generator Loss: 0.8599
Epoch [12/500] 	 Discriminator Loss: 0.0001 	 Generator Loss: 0.8776
Epoch [13/500] 	 Discriminator Loss: 0.0001 	 Generator Loss: 0.8912
Epoch [14/500] 	 Discriminator Loss: 0.0001 	 Generator Loss: 0.9056
Epoch [15/500] 	 Discriminator Loss: 0.0001 	 Generator Loss: 0.9187
Epoch [16/500] 	 Discriminator Loss: 0.0001 	 Generator Loss: 0.9325
Epoch [17/500] 	 Discriminator Loss: 0.0001 	 Generator Loss: 0.9444
Epoch [18/500] 	 Discriminator Loss: 0.0001 	 Generator Loss: 0.9553
Epoch [19/500] 	 Discriminator Loss: 0.0001 	 Generator Loss: 0.9679
Epoch [20/500] 	 Discriminator Loss: 0.0001 	 Generator Loss: 0.9780
