/home/ymax29os/GANs/ams_project-2/transformer_GAN/transformer_model.py:94: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = GradScaler()
/home/ymax29os/.local/lib/python3.9/site-packages/torch/amp/grad_scaler.py:132: UserWarning: torch.cuda.amp.GradScaler is enabled, but CUDA is not available.  Disabling.
  warnings.warn(
/home/ymax29os/GANs/ams_project-2/transformer_GAN/transformer_model.py:129: FutureWarning: `torch.cuda.amp.autocast(args...)` is deprecated. Please use `torch.amp.autocast('cuda', args...)` instead.
  with autocast():
/home/ymax29os/.local/lib/python3.9/site-packages/torch/amp/autocast_mode.py:265: UserWarning: User provided device_type of 'cuda', but CUDA is not available. Disabling
  warnings.warn(
/home/ymax29os/GANs/ams_project-2/transformer_GAN/transformer_model.py:152: FutureWarning: `torch.cuda.amp.autocast(args...)` is deprecated. Please use `torch.amp.autocast('cuda', args...)` instead.
  with autocast():
/home/ymax29os/.local/lib/python3.9/site-packages/torch/optim/lr_scheduler.py:216: UserWarning: Detected call of `lr_scheduler.step()` before `optimizer.step()`. In PyTorch 1.1.0 and later, you should call them in the opposite order: `optimizer.step()` before `lr_scheduler.step()`.  Failure to do this will result in PyTorch skipping the first value of the learning rate schedule. See more details at https://pytorch.org/docs/stable/optim.html#how-to-adjust-learning-rate
  warnings.warn(
Epoch [1/500] 	 Discriminator Loss: 0.0017 	 Generator Loss: 0.5539
Epoch [2/500] 	 Discriminator Loss: 0.0009 	 Generator Loss: 0.6290
Epoch [3/500] 	 Discriminator Loss: 0.0006 	 Generator Loss: 0.6724
Epoch [4/500] 	 Discriminator Loss: 0.0005 	 Generator Loss: 0.7055
Epoch [5/500] 	 Discriminator Loss: 0.0004 	 Generator Loss: 0.7334
Epoch [6/500] 	 Discriminator Loss: 0.0003 	 Generator Loss: 0.7607
Epoch [7/500] 	 Discriminator Loss: 0.0003 	 Generator Loss: 0.7847
Epoch [8/500] 	 Discriminator Loss: 0.0002 	 Generator Loss: 0.8044
Epoch [9/500] 	 Discriminator Loss: 0.0002 	 Generator Loss: 0.8229
Epoch [10/500] 	 Discriminator Loss: 0.0002 	 Generator Loss: 0.8414
Epoch [11/500] 	 Discriminator Loss: 0.0001 	 Generator Loss: 0.8579
Epoch [12/500] 	 Discriminator Loss: 0.0001 	 Generator Loss: 0.8719
Epoch [13/500] 	 Discriminator Loss: 0.0001 	 Generator Loss: 0.8909
Epoch [14/500] 	 Discriminator Loss: 0.0001 	 Generator Loss: 0.9045
Epoch [15/500] 	 Discriminator Loss: 0.0001 	 Generator Loss: 0.9208
Epoch [16/500] 	 Discriminator Loss: 0.0001 	 Generator Loss: 0.9325
Epoch [17/500] 	 Discriminator Loss: 0.0001 	 Generator Loss: 0.9425
Epoch [18/500] 	 Discriminator Loss: 0.0001 	 Generator Loss: 0.9576
Epoch [19/500] 	 Discriminator Loss: 0.0001 	 Generator Loss: 0.9697
Epoch [20/500] 	 Discriminator Loss: 0.0001 	 Generator Loss: 0.9811
Epoch [21/500] 	 Discriminator Loss: 0.0001 	 Generator Loss: 0.9908
Epoch [22/500] 	 Discriminator Loss: 0.0000 	 Generator Loss: 1.0005
Epoch [23/500] 	 Discriminator Loss: 0.0000 	 Generator Loss: 1.0126
Epoch [24/500] 	 Discriminator Loss: 0.0000 	 Generator Loss: 1.0201
Epoch [25/500] 	 Discriminator Loss: 0.0000 	 Generator Loss: 1.0303
Epoch [26/500] 	 Discriminator Loss: 0.0000 	 Generator Loss: 1.0444
Epoch [27/500] 	 Discriminator Loss: 0.0000 	 Generator Loss: 1.0511
Epoch [28/500] 	 Discriminator Loss: 0.0000 	 Generator Loss: 1.0597
Epoch [29/500] 	 Discriminator Loss: 0.0000 	 Generator Loss: 1.0703
Epoch [30/500] 	 Discriminator Loss: 0.0000 	 Generator Loss: 1.0794
Epoch [31/500] 	 Discriminator Loss: 0.0000 	 Generator Loss: 1.0856
Epoch [32/500] 	 Discriminator Loss: 0.0000 	 Generator Loss: 1.0955
