/home/ymax29os/GANs/ams_project-2/transformer_GAN/transformer_model.py:94: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = GradScaler()
/home/ymax29os/.local/lib/python3.9/site-packages/torch/amp/grad_scaler.py:132: UserWarning: torch.cuda.amp.GradScaler is enabled, but CUDA is not available.  Disabling.
  warnings.warn(
/home/ymax29os/GANs/ams_project-2/transformer_GAN/transformer_model.py:133: FutureWarning: `torch.cuda.amp.autocast(args...)` is deprecated. Please use `torch.amp.autocast('cuda', args...)` instead.
  with autocast():
/home/ymax29os/.local/lib/python3.9/site-packages/torch/amp/autocast_mode.py:265: UserWarning: User provided device_type of 'cuda', but CUDA is not available. Disabling
  warnings.warn(
/home/ymax29os/GANs/ams_project-2/transformer_GAN/transformer_model.py:152: FutureWarning: `torch.cuda.amp.autocast(args...)` is deprecated. Please use `torch.amp.autocast('cuda', args...)` instead.
  with autocast():
Epoch [1/500] 	 Discriminator Loss: 0.0896 	 Generator Loss: 0.1143
Epoch [2/500] 	 Discriminator Loss: 0.0648 	 Generator Loss: 0.3279
Epoch [3/500] 	 Discriminator Loss: 0.0146 	 Generator Loss: 0.3954
Epoch [4/500] 	 Discriminator Loss: 0.0650 	 Generator Loss: 0.2296
Epoch [5/500] 	 Discriminator Loss: 0.1358 	 Generator Loss: 0.2701
Epoch [6/500] 	 Discriminator Loss: 0.0707 	 Generator Loss: 0.3029
Epoch [7/500] 	 Discriminator Loss: 0.0346 	 Generator Loss: 0.2516
Epoch [8/500] 	 Discriminator Loss: 0.0975 	 Generator Loss: 0.1457
Epoch [9/500] 	 Discriminator Loss: 0.0361 	 Generator Loss: 0.2615
Epoch [10/500] 	 Discriminator Loss: 0.0222 	 Generator Loss: 0.3423
Epoch [11/500] 	 Discriminator Loss: 0.0904 	 Generator Loss: 0.3197
Epoch [12/500] 	 Discriminator Loss: 0.0550 	 Generator Loss: 0.3020
Epoch [13/500] 	 Discriminator Loss: 0.0789 	 Generator Loss: 0.2591
Epoch [14/500] 	 Discriminator Loss: 0.0446 	 Generator Loss: 0.3434
Epoch [15/500] 	 Discriminator Loss: 0.0917 	 Generator Loss: 0.1141
Epoch [16/500] 	 Discriminator Loss: 0.0313 	 Generator Loss: 0.3134
Epoch [17/500] 	 Discriminator Loss: 0.0197 	 Generator Loss: 0.5001
Epoch [18/500] 	 Discriminator Loss: 0.0053 	 Generator Loss: 0.5030
Epoch [19/500] 	 Discriminator Loss: 0.0284 	 Generator Loss: 0.4692
Epoch [20/500] 	 Discriminator Loss: 0.0473 	 Generator Loss: 0.2915
Epoch [21/500] 	 Discriminator Loss: 0.0589 	 Generator Loss: 0.3202
Epoch [22/500] 	 Discriminator Loss: 0.0475 	 Generator Loss: 0.3370
Epoch [23/500] 	 Discriminator Loss: 0.0425 	 Generator Loss: 0.3760
Epoch [24/500] 	 Discriminator Loss: 0.0465 	 Generator Loss: 0.3310
Epoch [25/500] 	 Discriminator Loss: 0.0272 	 Generator Loss: 0.3656
Epoch [26/500] 	 Discriminator Loss: 0.0047 	 Generator Loss: 0.5445
Epoch [27/500] 	 Discriminator Loss: 0.0051 	 Generator Loss: 0.5226
Epoch [28/500] 	 Discriminator Loss: 0.0018 	 Generator Loss: 0.6132
Epoch [29/500] 	 Discriminator Loss: 0.0013 	 Generator Loss: 0.6343
Epoch [30/500] 	 Discriminator Loss: 0.0011 	 Generator Loss: 0.6483
Epoch [31/500] 	 Discriminator Loss: 0.0021 	 Generator Loss: 0.6319
Epoch [32/500] 	 Discriminator Loss: 0.0199 	 Generator Loss: 0.2462
Epoch [33/500] 	 Discriminator Loss: 0.0033 	 Generator Loss: 0.4757
Epoch [34/500] 	 Discriminator Loss: 0.0023 	 Generator Loss: 0.5217
Epoch [35/500] 	 Discriminator Loss: 0.0034 	 Generator Loss: 0.4660
Epoch [36/500] 	 Discriminator Loss: 0.0483 	 Generator Loss: 0.3191
Epoch [37/500] 	 Discriminator Loss: 0.0020 	 Generator Loss: 0.5184
Epoch [38/500] 	 Discriminator Loss: 0.0074 	 Generator Loss: 0.5370
Epoch [39/500] 	 Discriminator Loss: 0.0241 	 Generator Loss: 0.3388
Epoch [40/500] 	 Discriminator Loss: 0.0868 	 Generator Loss: 0.0800
Epoch [41/500] 	 Discriminator Loss: 0.0824 	 Generator Loss: 0.0941
Epoch [42/500] 	 Discriminator Loss: 0.1186 	 Generator Loss: 0.0321
Epoch [43/500] 	 Discriminator Loss: 0.0864 	 Generator Loss: 0.0837
Epoch [44/500] 	 Discriminator Loss: 0.0806 	 Generator Loss: 0.0890
Epoch [45/500] 	 Discriminator Loss: 0.0680 	 Generator Loss: 0.1675
Epoch [46/500] 	 Discriminator Loss: 0.0893 	 Generator Loss: 0.0865
Epoch [47/500] 	 Discriminator Loss: 0.0876 	 Generator Loss: 0.0870
Epoch [48/500] 	 Discriminator Loss: 0.0870 	 Generator Loss: 0.0873
Epoch [49/500] 	 Discriminator Loss: 0.0863 	 Generator Loss: 0.0876
Epoch [50/500] 	 Discriminator Loss: 0.0859 	 Generator Loss: 0.0881
Epoch [51/500] 	 Discriminator Loss: 0.0846 	 Generator Loss: 0.0896
Epoch [52/500] 	 Discriminator Loss: 0.0796 	 Generator Loss: 0.0981
Epoch [53/500] 	 Discriminator Loss: 0.0726 	 Generator Loss: 0.1550
Epoch [54/500] 	 Discriminator Loss: 0.0027 	 Generator Loss: 0.4815
Epoch [55/500] 	 Discriminator Loss: 0.0099 	 Generator Loss: 0.5057
Epoch [56/500] 	 Discriminator Loss: 0.0567 	 Generator Loss: 0.3964
Epoch [57/500] 	 Discriminator Loss: 0.0065 	 Generator Loss: 0.4158
Epoch [58/500] 	 Discriminator Loss: 0.0345 	 Generator Loss: 0.4690
Epoch [59/500] 	 Discriminator Loss: 0.0071 	 Generator Loss: 0.4174
Epoch [60/500] 	 Discriminator Loss: 0.0038 	 Generator Loss: 0.4676
Epoch [61/500] 	 Discriminator Loss: 0.0711 	 Generator Loss: 0.3095
Epoch [62/500] 	 Discriminator Loss: 0.0255 	 Generator Loss: 0.3568
Epoch [63/500] 	 Discriminator Loss: 0.0035 	 Generator Loss: 0.4582
Epoch [64/500] 	 Discriminator Loss: 0.0809 	 Generator Loss: 0.2694
Epoch [65/500] 	 Discriminator Loss: 0.0879 	 Generator Loss: 0.0904
Epoch [66/500] 	 Discriminator Loss: 0.0854 	 Generator Loss: 0.0891
Epoch [67/500] 	 Discriminator Loss: 0.0814 	 Generator Loss: 0.0960
Epoch [68/500] 	 Discriminator Loss: 0.0515 	 Generator Loss: 0.1765
Epoch [69/500] 	 Discriminator Loss: 0.1753 	 Generator Loss: 0.1670
Epoch [70/500] 	 Discriminator Loss: 0.0722 	 Generator Loss: 0.1280
Epoch [71/500] 	 Discriminator Loss: 0.0809 	 Generator Loss: 0.0992
Epoch [72/500] 	 Discriminator Loss: 0.0717 	 Generator Loss: 0.1181
Epoch [73/500] 	 Discriminator Loss: 0.0690 	 Generator Loss: 0.1691
Epoch [74/500] 	 Discriminator Loss: 0.0689 	 Generator Loss: 0.1446
Epoch [75/500] 	 Discriminator Loss: 0.0439 	 Generator Loss: 0.2308
Epoch [76/500] 	 Discriminator Loss: 0.0855 	 Generator Loss: 0.1601
Epoch [77/500] 	 Discriminator Loss: 0.0280 	 Generator Loss: 0.3310
Epoch [78/500] 	 Discriminator Loss: 0.0115 	 Generator Loss: 0.4578
Epoch [79/500] 	 Discriminator Loss: 0.0034 	 Generator Loss: 0.4886
Epoch [80/500] 	 Discriminator Loss: 0.0025 	 Generator Loss: 0.5159
Epoch [81/500] 	 Discriminator Loss: 0.0030 	 Generator Loss: 0.5012
Epoch [82/500] 	 Discriminator Loss: 0.0027 	 Generator Loss: 0.5233
Epoch [83/500] 	 Discriminator Loss: 0.0020 	 Generator Loss: 0.5557
Epoch [84/500] 	 Discriminator Loss: 0.0016 	 Generator Loss: 0.5806
Epoch [85/500] 	 Discriminator Loss: 0.0012 	 Generator Loss: 0.5969
Epoch [86/500] 	 Discriminator Loss: 0.0010 	 Generator Loss: 0.6141
Epoch [87/500] 	 Discriminator Loss: 0.0009 	 Generator Loss: 0.6215
Epoch [88/500] 	 Discriminator Loss: 0.0008 	 Generator Loss: 0.6418
Epoch [89/500] 	 Discriminator Loss: 0.0007 	 Generator Loss: 0.6539
Epoch [90/500] 	 Discriminator Loss: 0.0016 	 Generator Loss: 0.6637
Epoch [91/500] 	 Discriminator Loss: 0.0006 	 Generator Loss: 0.6741
Epoch [92/500] 	 Discriminator Loss: 0.0006 	 Generator Loss: 0.6853
Epoch [93/500] 	 Discriminator Loss: 0.0005 	 Generator Loss: 0.6902
Epoch [94/500] 	 Discriminator Loss: 0.0005 	 Generator Loss: 0.7013
Epoch [95/500] 	 Discriminator Loss: 0.0004 	 Generator Loss: 0.7106
Epoch [96/500] 	 Discriminator Loss: 0.0004 	 Generator Loss: 0.7191
Epoch [97/500] 	 Discriminator Loss: 0.0004 	 Generator Loss: 0.7292
Epoch [98/500] 	 Discriminator Loss: 0.0003 	 Generator Loss: 0.7377
Epoch [99/500] 	 Discriminator Loss: 0.0003 	 Generator Loss: 0.7451
Epoch [100/500] 	 Discriminator Loss: 0.0003 	 Generator Loss: 0.7505
Epoch [101/500] 	 Discriminator Loss: 0.0003 	 Generator Loss: 0.7594
Epoch [102/500] 	 Discriminator Loss: 0.0003 	 Generator Loss: 0.7669
Epoch [103/500] 	 Discriminator Loss: 0.0003 	 Generator Loss: 0.7722
Epoch [104/500] 	 Discriminator Loss: 0.0003 	 Generator Loss: 0.7822
Epoch [105/500] 	 Discriminator Loss: 0.0002 	 Generator Loss: 0.7841
Epoch [106/500] 	 Discriminator Loss: 0.0003 	 Generator Loss: 0.7915
Epoch [107/500] 	 Discriminator Loss: 0.0197 	 Generator Loss: 0.7931
Epoch [108/500] 	 Discriminator Loss: 0.0400 	 Generator Loss: 0.4383
Epoch [109/500] 	 Discriminator Loss: 0.0618 	 Generator Loss: 0.6080
Epoch [110/500] 	 Discriminator Loss: 0.0974 	 Generator Loss: 0.0841
Epoch [111/500] 	 Discriminator Loss: 0.0839 	 Generator Loss: 0.0897
Epoch [112/500] 	 Discriminator Loss: 0.0796 	 Generator Loss: 0.1017
Epoch [113/500] 	 Discriminator Loss: 0.0456 	 Generator Loss: 0.2127
Epoch [114/500] 	 Discriminator Loss: 0.0023 	 Generator Loss: 0.5260
Epoch [115/500] 	 Discriminator Loss: 0.0300 	 Generator Loss: 0.4477
Epoch [116/500] 	 Discriminator Loss: 0.0478 	 Generator Loss: 0.2433
Epoch [117/500] 	 Discriminator Loss: 0.0056 	 Generator Loss: 0.5171
Epoch [118/500] 	 Discriminator Loss: 0.0040 	 Generator Loss: 0.6004
Epoch [119/500] 	 Discriminator Loss: 0.0077 	 Generator Loss: 0.6290
Epoch [120/500] 	 Discriminator Loss: 0.0021 	 Generator Loss: 0.6745
Epoch [121/500] 	 Discriminator Loss: 0.0163 	 Generator Loss: 0.5173
Epoch [122/500] 	 Discriminator Loss: 0.0775 	 Generator Loss: 0.2488
Epoch [123/500] 	 Discriminator Loss: 0.0553 	 Generator Loss: 0.3016
Epoch [124/500] 	 Discriminator Loss: 0.0325 	 Generator Loss: 0.3963
Epoch [125/500] 	 Discriminator Loss: 0.0303 	 Generator Loss: 0.3040
Epoch [126/500] 	 Discriminator Loss: 0.0237 	 Generator Loss: 0.3987
Epoch [127/500] 	 Discriminator Loss: 0.0361 	 Generator Loss: 0.3894
Epoch [128/500] 	 Discriminator Loss: 0.0640 	 Generator Loss: 0.2131
Epoch [129/500] 	 Discriminator Loss: 0.0912 	 Generator Loss: 0.2271
Epoch [130/500] 	 Discriminator Loss: 0.0674 	 Generator Loss: 0.1969
Epoch [131/500] 	 Discriminator Loss: 0.0298 	 Generator Loss: 0.3782
Epoch [132/500] 	 Discriminator Loss: 0.0398 	 Generator Loss: 0.3176
Epoch [133/500] 	 Discriminator Loss: 0.0448 	 Generator Loss: 0.2818
Epoch [134/500] 	 Discriminator Loss: 0.0813 	 Generator Loss: 0.1515
Epoch [135/500] 	 Discriminator Loss: 0.0318 	 Generator Loss: 0.3212
Epoch [136/500] 	 Discriminator Loss: 0.0203 	 Generator Loss: 0.3779
Epoch [137/500] 	 Discriminator Loss: 0.0345 	 Generator Loss: 0.3308
Epoch [138/500] 	 Discriminator Loss: 0.0562 	 Generator Loss: 0.1940
Epoch [139/500] 	 Discriminator Loss: 0.0461 	 Generator Loss: 0.2937
Epoch [140/500] 	 Discriminator Loss: 0.0694 	 Generator Loss: 0.1932
Epoch [141/500] 	 Discriminator Loss: 0.0553 	 Generator Loss: 0.1869
Epoch [142/500] 	 Discriminator Loss: 0.0906 	 Generator Loss: 0.0878
Epoch [143/500] 	 Discriminator Loss: 0.0439 	 Generator Loss: 0.2598
Epoch [144/500] 	 Discriminator Loss: 0.0787 	 Generator Loss: 0.1692
Epoch [145/500] 	 Discriminator Loss: 0.1645 	 Generator Loss: 0.2061
Epoch [146/500] 	 Discriminator Loss: 0.0925 	 Generator Loss: 0.3021
Epoch [147/500] 	 Discriminator Loss: 0.0584 	 Generator Loss: 0.1929
Epoch [148/500] 	 Discriminator Loss: 0.0524 	 Generator Loss: 0.2407
Epoch [149/500] 	 Discriminator Loss: 0.0589 	 Generator Loss: 0.2958
Epoch [150/500] 	 Discriminator Loss: 0.0327 	 Generator Loss: 0.3906
Epoch [151/500] 	 Discriminator Loss: 0.0284 	 Generator Loss: 0.3465
Epoch [152/500] 	 Discriminator Loss: 0.0272 	 Generator Loss: 0.4098
Epoch [153/500] 	 Discriminator Loss: 0.0079 	 Generator Loss: 0.5365
Epoch [154/500] 	 Discriminator Loss: 0.0194 	 Generator Loss: 0.4813
Epoch [155/500] 	 Discriminator Loss: 0.0165 	 Generator Loss: 0.5026
Epoch [156/500] 	 Discriminator Loss: 0.0668 	 Generator Loss: 0.1676
Epoch [157/500] 	 Discriminator Loss: 0.0998 	 Generator Loss: 0.1642
Epoch [158/500] 	 Discriminator Loss: 0.0193 	 Generator Loss: 0.3690
Epoch [159/500] 	 Discriminator Loss: 0.0464 	 Generator Loss: 0.3529
Epoch [160/500] 	 Discriminator Loss: 0.0420 	 Generator Loss: 0.3626
Epoch [161/500] 	 Discriminator Loss: 0.0140 	 Generator Loss: 0.4590
Epoch [162/500] 	 Discriminator Loss: 0.0479 	 Generator Loss: 0.3147
