/home/ymax29os/GANs/ams_project-2/transformer_GAN/transformer_model.py:94: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = GradScaler()
/home/ymax29os/.local/lib/python3.9/site-packages/torch/amp/grad_scaler.py:132: UserWarning: torch.cuda.amp.GradScaler is enabled, but CUDA is not available.  Disabling.
  warnings.warn(
/home/ymax29os/GANs/ams_project-2/transformer_GAN/transformer_model.py:134: FutureWarning: `torch.cuda.amp.autocast(args...)` is deprecated. Please use `torch.amp.autocast('cuda', args...)` instead.
  with autocast():
/home/ymax29os/.local/lib/python3.9/site-packages/torch/amp/autocast_mode.py:265: UserWarning: User provided device_type of 'cuda', but CUDA is not available. Disabling
  warnings.warn(
/home/ymax29os/GANs/ams_project-2/transformer_GAN/transformer_model.py:153: FutureWarning: `torch.cuda.amp.autocast(args...)` is deprecated. Please use `torch.amp.autocast('cuda', args...)` instead.
  with autocast():
/home/ymax29os/.local/lib/python3.9/site-packages/torch/optim/lr_scheduler.py:216: UserWarning: Detected call of `lr_scheduler.step()` before `optimizer.step()`. In PyTorch 1.1.0 and later, you should call them in the opposite order: `optimizer.step()` before `lr_scheduler.step()`.  Failure to do this will result in PyTorch skipping the first value of the learning rate schedule. See more details at https://pytorch.org/docs/stable/optim.html#how-to-adjust-learning-rate
  warnings.warn(
Epoch [1/500] 	 Discriminator Loss: 0.0885 	 Generator Loss: 0.0985
Epoch [2/500] 	 Discriminator Loss: 0.0882 	 Generator Loss: 0.0986
Epoch [3/500] 	 Discriminator Loss: 0.0883 	 Generator Loss: 0.0994
Epoch [4/500] 	 Discriminator Loss: 0.0885 	 Generator Loss: 0.0988
Epoch [5/500] 	 Discriminator Loss: 0.0887 	 Generator Loss: 0.0990
Epoch [6/500] 	 Discriminator Loss: 0.0881 	 Generator Loss: 0.0991
Epoch [7/500] 	 Discriminator Loss: 0.0878 	 Generator Loss: 0.0982
Epoch [8/500] 	 Discriminator Loss: 0.0890 	 Generator Loss: 0.0981
Epoch [9/500] 	 Discriminator Loss: 0.0882 	 Generator Loss: 0.0989
Epoch [10/500] 	 Discriminator Loss: 0.0886 	 Generator Loss: 0.0990
Epoch [11/500] 	 Discriminator Loss: 0.0877 	 Generator Loss: 0.0997
Epoch [12/500] 	 Discriminator Loss: 0.0886 	 Generator Loss: 0.0993
Epoch [13/500] 	 Discriminator Loss: 0.0881 	 Generator Loss: 0.0991
Epoch [14/500] 	 Discriminator Loss: 0.0878 	 Generator Loss: 0.0982
Epoch [15/500] 	 Discriminator Loss: 0.0884 	 Generator Loss: 0.0992
Epoch [16/500] 	 Discriminator Loss: 0.0884 	 Generator Loss: 0.1002
Epoch [17/500] 	 Discriminator Loss: 0.0885 	 Generator Loss: 0.0996
Epoch [18/500] 	 Discriminator Loss: 0.0889 	 Generator Loss: 0.0991
Epoch [19/500] 	 Discriminator Loss: 0.0884 	 Generator Loss: 0.0991
Epoch [20/500] 	 Discriminator Loss: 0.0885 	 Generator Loss: 0.0989
Epoch [21/500] 	 Discriminator Loss: 0.0886 	 Generator Loss: 0.0986
Epoch [22/500] 	 Discriminator Loss: 0.0887 	 Generator Loss: 0.0980
Epoch [23/500] 	 Discriminator Loss: 0.0881 	 Generator Loss: 0.1005
Epoch [24/500] 	 Discriminator Loss: 0.0881 	 Generator Loss: 0.0989
Epoch [25/500] 	 Discriminator Loss: 0.0879 	 Generator Loss: 0.0986
Epoch [26/500] 	 Discriminator Loss: 0.0880 	 Generator Loss: 0.0996
Epoch [27/500] 	 Discriminator Loss: 0.0880 	 Generator Loss: 0.0985
Epoch [28/500] 	 Discriminator Loss: 0.0885 	 Generator Loss: 0.0992
